Date,Amundi Core MSCI World Swap UCITS ETF Dist (LU2572257124)
12/1969,10000
01/1970,9443.833333333334
02/1970,9737.20730810527
03/1970,9765.87419756729
04/1970,8851.706827139022
05/1970,8291.815934389784
06/1970,8086.210904820456
07/1970,8586.24304303577
08/1970,8867.873862401379
09/1970,9152.807467308896
10/1970,9016.187052434549
11/1970,9216.643590226766
12/1970,9672.061838811042
01/1971,10051.382429050125
02/1971,10139.786453686525
03/1971,10583.03235398912
04/1971,10936.292514912655
05/1971,10438.109604589934
06/1971,10419.539180149784
07/1971,10160.446558864278
08/1971,10186.347414796088
09/1971,9912.957295608796
10/1971,9448.57083630626
11/1971,9546.050913095443
12/1971,10204.20098175852
01/1972,10452.40827607939
02/1972,10701.162502593674
03/1972,10809.784739524903
04/1972,10962.44981059506
05/1972,11189.216976353422
06/1972,10890.876927211071
07/1972,11031.471266403325
08/1972,11433.806763607556
09/1972,11281.240737276627
10/1972,11421.436450623243
11/1972,12007.037822051145
12/1972,12206.711575819521
01/1973,12222.794446700562
02/1973,11570.900631735269
03/1973,10843.757881074263
04/1973,10381.935881565507
05/1973,10181.773204560464
06/1973,9468.36136372984
07/1973,8777.052610989338
08/1973,8737.826910898466
09/1973,8980.314337768934
10/1973,9029.38941931215
11/1973,8401.407184879103
12/1973,8578.228712443746
01/1974,9154.499175365614
02/1974,8963.499921447303
03/1974,8424.775815928668
04/1974,7991.903094451752
05/1974,7472.636545168838
06/1974,7423.769450080246
07/1974,7058.935193468523
08/1974,6540.454820047877
09/1974,6025.86529134398
10/1974,6432.374537566168
11/1974,6131.076626211774
12/1974,5882.480144931446
01/1975,6504.385157056239
02/1975,6964.607072586402
03/1975,6990.9624996138255
04/1975,7456.717252220997
05/1975,7550.537840860557
06/1975,7611.912948913241
07/1975,7596.258007780554
08/1975,7782.515611926158
09/1975,7586.129777288671
10/1975,7992.257485774516
11/1975,8234.612527500576
12/1975,8342.463512897431
01/1976,9019.978358858698
02/1976,8812.068510361938
03/1976,8907.90037711315
04/1976,8765.491537822878
05/1976,8699.154039642095
06/1976,9020.007861816739
07/1976,8923.716702569001
08/1976,8745.642881698088
09/1976,8679.897444002307
10/1976,8171.567121881608
11/1976,8083.1766543160875
12/1976,8582.010299737038
01/1977,8327.297889370553
02/1977,8330.586444661563
03/1977,8230.995335712047
04/1977,8259.400405005828
05/1977,8092.649765530337
06/1977,8384.563623811031
07/1977,8012.297334175862
08/1977,8162.493049619577
09/1977,8288.47639038338
10/1977,7984.235127114216
11/1977,7950.920547397202
12/1977,7783.080285642317
01/1978,7436.923294504433
02/1978,7238.10125481105
03/1978,7403.001150436743
04/1978,7769.440514059395
05/1978,8107.809231274218
06/1978,8102.73030848756
07/1978,8567.318788754652
08/1978,8511.968961391623
09/1978,8490.227673832569
10/1978,7771.78051633459
11/1978,7763.179563360546
